category,inspections_count,stores_inspected,avg_score,total_issues,avg_issues_per_inspection,avg_deduction_per_inspection,s_count,m_count,g_count,l_count,o_count,s_pct,m_pct,g_pct,l_pct,top_3_modules
Store food safety self-check,9,9,90.9,74,8.2,-13.3,2,2,30,40,16,2.7,2.7,40.5,54.1,"产品与有效期管理(11), 员工健康与个人卫生(10), 清洁卫生(9)"
Store food safety audit,7,7,78.4,46,6.6,-13.9,4,4,19,19,20,8.7,8.7,41.3,41.3,"交叉污染防控(7), 产品与有效期管理(5), 化学品管理(4)"
Area food safety Check,4,4,82.8,31,7.8,-13.5,1,2,11,17,14,3.2,6.5,35.5,54.8,"产品与有效期管理(7), 清洁卫生(4), 证照文件记录(4)"
